"","Rate","Type","Accuracy"
"1","0%","One-stop shop data",0.800267584097859
"2","5%","One-stop shop data",0.838047910295617
"3","10%","One-stop shop data",0.870795107033639
"4","15%","One-stop shop data",0.89920998980632
"5","20%","One-stop shop data",0.924566768603466
"6","25%","One-stop shop data",0.944253312945973
"7","0%","Test data",0.88845361778173
"8","5%","Test data",0.922001514288824
"9","10%","Test data",0.948296985575021
"10","15%","Test data",0.967809451833985
"11","20%","Test data",0.981098947704722
"12","25%","Test data",0.988864699087643